SKU,Description,Extended Descriptions,Department,Category,MSRP,Supplier,SupplierCost,Reordernumber,Default Price,Default Cost,Size,Color,Team,Syncode 1 (Product Line),Barcode Number,Style,League,Series/Sport,Royalty Class,Season,Driver/Player Marks,Car/Player #,Sponsor,Year,Event/Program Marks,Owner,NTP Code,Royalty Code,Brand,Country Origin,Royalty Free,ParentLocation,ImportToAllLocations,BarcodeType,Taxable,ImportCompleted,SpecialInstructions,LocationKey,TaxGroup,ReplyTo
,TSHIRT UA TWIST RAGLAN,,MENS,SS TEES,$55.00 ,NoSupplier,$22.50 ,GEA,$55.00 ,$22.50 ,M,ORBK,San Francisco Giants,Inherited,305529,TSHIRT UA TWIST RAGLAN,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT 60TH ANNIV LOGO,,MENS,SS TEES,$14.99 ,NoSupplier,$5.74 ,GRA,$14.99 ,$5.74 ,S,BLK,San Francisco Giants,Inherited,307344,TSHIRT 60TH ANNIV LOGO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT NORCAL SF TRUE,,MENS,SS TEES,$29.00 ,NoSupplier,$11.00 ,NHS,$29.00 ,$11.00 ,S,BLK,San Francisco Giants,Inherited,302704,TSHIRT NORCAL SF TRUE,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT IOG 2018 BALL BRIDGE,,MENS,SS TEES,$29.00 ,NoSupplier,$8.00 ,BNR,$29.00 ,$8.00 ,L,BLK,San Francisco Giants,Inherited,18724,TSHIRT IOG 2018 BALL BRIDGE,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CLASSIC LOGO L/S T,,MENS,SS TEES,$24.00 ,NoSupplier,$9.25 ,GRA,$24.00 ,$9.25 ,L,WHI,San Francisco Giants,Inherited,302175,CLASSIC LOGO L/S T,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT 60TH ANNIV LOGO,,MENS,SS TEES,$14.99 ,NoSupplier,$5.24 ,GRA,$14.99 ,$5.24 ,M,BLK,San Francisco Giants,Inherited,10611,TSHIRT 60TH ANNIV LOGO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT NORCAL STADIUM BEAR,,MENS,SS TEES,$19.99 ,NoSupplier,$11.50 ,NHS,$19.99 ,$11.50 ,XXL,CHAR,San Francisco Giants,Inherited,300872,TSHIRT NORCAL STADIUM BEAR,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT PLAYER BLACK STITCH,,MENS,SS TEES,$29.00 ,NoSupplier,$10.25 ,MAJ,$29.00 ,$10.25 ,XL,MAYS,San Francisco Giants,Inherited,300856,TSHIRT PLAYER BLACK STITCH,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT UA THREADBORNE ARCH,,MENS,SS TEES,$49.00 ,NoSupplier,$15.60 ,GEA,$49.00 ,$15.60 ,S,GREY,San Francisco Giants,Inherited,16668,TSHIRT UA THREADBORNE ARCH,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CLASSIC LOGO L/S T,,MENS,SS TEES,$24.00 ,NoSupplier,$9.25 ,GRA,$24.00 ,$9.25 ,M,WHI,San Francisco Giants,Inherited,16567,CLASSIC LOGO L/S T,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT VARSITY SCRUM GIANTS,,MENS,SS TEES,$39.00 ,NoSupplier,$16.65 ,BNR,$39.00 ,$16.65 ,XL,GREY,San Francisco Giants,Inherited,302339,TSHIRT VARSITY SCRUM GIANTS,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT PLAYER BLACK STITCH,,MENS,SS TEES,$29.00 ,NoSupplier,$10.25 ,MAJ,$29.00 ,$10.25 ,M,MAYS,San Francisco Giants,Inherited,302135,TSHIRT PLAYER BLACK STITCH,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT IOG 2018 BALL BRIDGE,,MENS,SS TEES,$29.00 ,NoSupplier,$8.00 ,BNR,$29.00 ,$8.00 ,M,BLK,San Francisco Giants,Inherited,300313,TSHIRT IOG 2018 BALL BRIDGE,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CLASSIC LOGO L/S T,,MENS,SS TEES,$24.00 ,NoSupplier,$9.25 ,GRA,$24.00 ,$9.25 ,M,BLK,San Francisco Giants,Inherited,300311,CLASSIC LOGO L/S T,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CLASSIC GIGANTES T,,MENS,SS TEES,$22.00 ,NoSupplier,$5.00 ,GRA,$22.00 ,$5.00 ,S,BLK,San Francisco Giants,Inherited,300725,CLASSIC GIGANTES T,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT NORCAL STADIUM BEAR,,MENS,SS TEES,$19.99 ,NoSupplier,$14.00 ,NHS,$19.99 ,$14.00 ,L,ORG,San Francisco Giants,Inherited,300724,TSHIRT NORCAL STADIUM BEAR,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT NORCAL STADIUM BEAR,,MENS,SS TEES,$19.99 ,NoSupplier,$14.00 ,NHS,$19.99 ,$14.00 ,XXL,ORG,San Francisco Giants,Inherited,14568,TSHIRT NORCAL STADIUM BEAR,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CLASSIC LOGO T,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,XXXL,WHI,San Francisco Giants,Inherited,304529,CLASSIC LOGO T,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT STRIPE ACROSS,,MENS,SS TEES,$39.00 ,NoSupplier,$16.50 ,GEA,$39.00 ,$16.50 ,M,BLK,San Francisco Giants,Inherited,305553,TSHIRT STRIPE ACROSS,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CLASSIC LOGO T,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,XXXL,ORG,San Francisco Giants,Inherited,4482,CLASSIC LOGO T,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT CTR CHEST SCRIPT SF,,MENS,SS TEES,$25.00 ,NoSupplier,$5.00 ,MAJ,$25.00 ,$5.00 ,M,WHI,San Francisco Giants,Inherited,302252,TSHIRT CTR CHEST SCRIPT SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT HELLA HOMERUNS,,MENS,SS TEES,$15.99 ,NoSupplier,$5.50 ,GRA,$15.99 ,$5.50 ,XXL,BLK,San Francisco Giants,Inherited,303258,TSHIRT HELLA HOMERUNS,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,MET TSHIRT WINGS,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,M,BLK,San Francisco Giants,Inherited,18524,MET TSHIRT WINGS,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CLASSIC GIGANTES T,,MENS,SS TEES,$22.00 ,NoSupplier,$5.00 ,GRA,$22.00 ,$5.00 ,M,BLK,San Francisco Giants,Inherited,305523,CLASSIC GIGANTES T,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CLASSIC GIGANTES T,,MENS,SS TEES,$22.00 ,NoSupplier,$5.00 ,GRA,$22.00 ,$5.00 ,XXL,BLK,San Francisco Giants,Inherited,301893,CLASSIC GIGANTES T,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CLASSIC LOGO T,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,XXXL,BLK,San Francisco Giants,Inherited,300082,CLASSIC LOGO T,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT THRASHER SF BACK,,MENS,SS TEES,$55.00 ,NoSupplier,$20.90 ,BNR,$55.00 ,$20.90 ,XL,BLK,San Francisco Giants,Inherited,24572,TSHIRT THRASHER SF BACK,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT SCRIPT SAN FRANCISCO,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,L,BLK,San Francisco Giants,Inherited,305663,TSHIRT SCRIPT SAN FRANCISCO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT CTR CHEST SCRIPT SF,,MENS,SS TEES,$25.00 ,NoSupplier,$5.00 ,MAJ,$25.00 ,$5.00 ,XXL,WHI,San Francisco Giants,Inherited,307343,TSHIRT CTR CHEST SCRIPT SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT THRASHER SF BACK,,MENS,SS TEES,$55.00 ,NoSupplier,$20.90 ,BNR,$55.00 ,$20.90 ,L,BLK,San Francisco Giants,Inherited,307345,TSHIRT THRASHER SF BACK,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT BRIDGE CITY NAME SF,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,L,ORG,San Francisco Giants,Inherited,5344,TSHIRT BRIDGE CITY NAME SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT VARSITY SCRUM GIANTS,,MENS,SS TEES,$39.00 ,NoSupplier,$16.65 ,BNR,$39.00 ,$16.65 ,XXL,GREY,San Francisco Giants,Inherited,16854,TSHIRT VARSITY SCRUM GIANTS,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT SCRIPT SAN FRANCISCO,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,XL,BLK,San Francisco Giants,Inherited,15177,TSHIRT SCRIPT SAN FRANCISCO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT BRIDGE CITY NAME SF,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,XL,ORG,San Francisco Giants,Inherited,16850,TSHIRT BRIDGE CITY NAME SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT BRIDGE PATCH TWO SIDED,,MENS,SS TEES,$20.00 ,NoSupplier,$7.75 ,GRA,$20.00 ,$7.75 ,L,BLK,San Francisco Giants,Inherited,302696,TSHIRT BRIDGE PATCH TWO SIDED,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT SCRIPT SAN FRANCISCO,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,M,BLK,San Francisco Giants,Inherited,18677,TSHIRT SCRIPT SAN FRANCISCO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT BRIDGE PATCH TWO SIDED,,MENS,SS TEES,$20.00 ,NoSupplier,$7.75 ,GRA,$20.00 ,$7.75 ,M,BLK,San Francisco Giants,Inherited,14083,TSHIRT BRIDGE PATCH TWO SIDED,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT CTR CHEST SCRIPT SF,,MENS,SS TEES,$25.00 ,NoSupplier,$5.00 ,MAJ,$25.00 ,$5.00 ,S,WHI,San Francisco Giants,Inherited,14065,TSHIRT CTR CHEST SCRIPT SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT BRIDGE CITY NAME SF,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,M,ORG,San Francisco Giants,Inherited,300106,TSHIRT BRIDGE CITY NAME SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT FOUR SQUARE,,MENS,SS TEES,$15.00 ,NoSupplier,$6.00 ,GRA,$15.00 ,$6.00 ,XL,WHI,San Francisco Giants,Inherited,18235,TSHIRT FOUR SQUARE,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT L/S NK HVYWT CTN,,MENS,SS TEES,$45.00 ,NoSupplier,$17.60 ,NIK,$45.00 ,$17.60 ,L,BLK,San Francisco Giants,Inherited,16601,TSHIRT L/S NK HVYWT CTN,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT CIRCLE LOGO RAGLAN,,MENS,SS TEES,$59.00 ,NoSupplier,$20.00 ,GEA,$59.00 ,$20.00 ,XL,BLK,San Francisco Giants,Inherited,303401,TSHIRT CIRCLE LOGO RAGLAN,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CLASSIC GIGANTES T,,MENS,SS TEES,$22.00 ,NoSupplier,$5.00 ,GRA,$22.00 ,$5.00 ,XL,BLK,San Francisco Giants,Inherited,300855,CLASSIC GIGANTES T,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT RETRO SCRIPT BRIDGE,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,M,CHAR,San Francisco Giants,Inherited,16669,TSHIRT RETRO SCRIPT BRIDGE,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT IOG 2018 BALL BRIDGE,,MENS,SS TEES,$29.00 ,NoSupplier,$8.00 ,BNR,$29.00 ,$8.00 ,S,BLK,San Francisco Giants,Inherited,14829,TSHIRT IOG 2018 BALL BRIDGE,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CLASSIC GIGANTES T,,MENS,SS TEES,$22.00 ,NoSupplier,$5.00 ,GRA,$22.00 ,$5.00 ,L,BLK,San Francisco Giants,Inherited,3671,CLASSIC GIGANTES T,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT BRIDGE PATCH TWO SIDED,,MENS,SS TEES,$20.00 ,NoSupplier,$7.75 ,GRA,$20.00 ,$7.75 ,XL,BLK,San Francisco Giants,Inherited,302667,TSHIRT BRIDGE PATCH TWO SIDED,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT RETRO SCRIPT BRIDGE,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,XL,CHAR,San Francisco Giants,Inherited,17069,TSHIRT RETRO SCRIPT BRIDGE,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT PLAYER BLACK STITCH,,MENS,SS TEES,$29.00 ,NoSupplier,$10.25 ,MAJ,$29.00 ,$10.25 ,S,MAYS,San Francisco Giants,Inherited,17513,TSHIRT PLAYER BLACK STITCH,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT LOGO LEFT CHEST,,MENS,SS TEES,$39.00 ,NoSupplier,$16.50 ,GEA,$39.00 ,$16.50 ,L,GREY,San Francisco Giants,Inherited,300326,TSHIRT LOGO LEFT CHEST,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT CITY SKYLINE SUNSET,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,XL,WHI,San Francisco Giants,Inherited,300370,TSHIRT CITY SKYLINE SUNSET,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT RETRO SCRIPT BRIDGE,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,L,CHAR,San Francisco Giants,Inherited,305547,TSHIRT RETRO SCRIPT BRIDGE,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT STRIPE ACROSS,,MENS,SS TEES,$39.00 ,NoSupplier,$16.50 ,GEA,$39.00 ,$16.50 ,S,BLK,San Francisco Giants,Inherited,44436,TSHIRT STRIPE ACROSS,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT NORCAL STADIUM BEAR,,MENS,SS TEES,$19.99 ,NoSupplier,$11.50 ,NHS,$19.99 ,$11.50 ,M,CHAR,San Francisco Giants,Inherited,18019,TSHIRT NORCAL STADIUM BEAR,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT DOUBLE LOGO,,MENS,SS TEES,$39.00 ,NoSupplier,$16.50 ,GEA,$39.00 ,$16.50 ,XL,ORG,San Francisco Giants,Inherited,10315,TSHIRT DOUBLE LOGO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT HELLA HOMERUNS,,MENS,SS TEES,$15.99 ,NoSupplier,$5.50 ,GRA,$15.99 ,$5.50 ,S,BLK,San Francisco Giants,Inherited,16171,TSHIRT HELLA HOMERUNS,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT FILIPINO SUN STARS,,MENS,SS TEES,$25.00 ,NoSupplier,$5.71 ,GRA,$25.00 ,$5.71 ,L,BLK,San Francisco Giants,Inherited,307316,TSHIRT FILIPINO SUN STARS,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT STRIPE ACROSS,,MENS,SS TEES,$39.00 ,NoSupplier,$16.50 ,GEA,$39.00 ,$16.50 ,XL,BLK,San Francisco Giants,Inherited,307318,TSHIRT STRIPE ACROSS,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT ARCH SAN FRANCISCO,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,M,GREY,San Francisco Giants,Inherited,20501,TSHIRT ARCH SAN FRANCISCO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT CITY SKYLINE SUNSET,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,M,WHI,San Francisco Giants,Inherited,303262,TSHIRT CITY SKYLINE SUNSET,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT LOGO LEFT CHEST,,MENS,SS TEES,$39.00 ,NoSupplier,$16.50 ,GEA,$39.00 ,$16.50 ,M,GREY,San Francisco Giants,Inherited,303265,TSHIRT LOGO LEFT CHEST,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT CITY SKYLINE SUNSET,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,L,WHI,San Francisco Giants,Inherited,17960,TSHIRT CITY SKYLINE SUNSET,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT NORCAL STADIUM BEAR,,MENS,SS TEES,$19.99 ,NoSupplier,$14.00 ,NHS,$19.99 ,$14.00 ,M,ORG,San Francisco Giants,Inherited,24571,TSHIRT NORCAL STADIUM BEAR,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT L/S NK HVYWT CTN,,MENS,SS TEES,$45.00 ,NoSupplier,$17.60 ,NIK,$45.00 ,$17.60 ,M,BLK,San Francisco Giants,Inherited,508,TSHIRT L/S NK HVYWT CTN,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT ARCH SAN FRANCISCO,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,XL,GREY,San Francisco Giants,Inherited,44410,TSHIRT ARCH SAN FRANCISCO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT VARSITY SCRUM GIANTS,,MENS,SS TEES,$39.00 ,NoSupplier,$16.65 ,BNR,$39.00 ,$16.65 ,S,GREY,San Francisco Giants,Inherited,302793,TSHIRT VARSITY SCRUM GIANTS,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT BRIDGE PATCH TWO SIDED,,MENS,SS TEES,$20.00 ,NoSupplier,$7.75 ,GRA,$20.00 ,$7.75 ,S,BLK,San Francisco Giants,Inherited,305660,TSHIRT BRIDGE PATCH TWO SIDED,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT RETRO SCRIPT BRIDGE,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,S,CHAR,San Francisco Giants,Inherited,305661,TSHIRT RETRO SCRIPT BRIDGE,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT SCRIPT SAN FRANCISCO,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,S,BLK,San Francisco Giants,Inherited,305665,TSHIRT SCRIPT SAN FRANCISCO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT SCRIPT SAN FRANCISCO,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,XXL,BLK,San Francisco Giants,Inherited,7943,TSHIRT SCRIPT SAN FRANCISCO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT 60TH ANNIV LOGO,,MENS,SS TEES,$14.99 ,NoSupplier,$5.89 ,GRA,$14.99 ,$5.89 ,L,BLK,San Francisco Giants,Inherited,10066,TSHIRT 60TH ANNIV LOGO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT BRIDGE CITY NAME SF,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,S,ORG,San Francisco Giants,Inherited,7645,TSHIRT BRIDGE CITY NAME SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT BRIDGE CITY NAME SF,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,XXL,ORG,San Francisco Giants,Inherited,14062,TSHIRT BRIDGE CITY NAME SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT FOUR SQUARE,,MENS,SS TEES,$15.00 ,NoSupplier,$6.00 ,GRA,$15.00 ,$6.00 ,L,WHI,San Francisco Giants,Inherited,14060,TSHIRT FOUR SQUARE,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT THRASHER CROIX,,MENS,SS TEES,$45.00 ,NoSupplier,$17.50 ,BNR,$45.00 ,$17.50 ,L,BLK,San Francisco Giants,Inherited,14035,TSHIRT THRASHER CROIX,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT THRASHER SF BACK,,MENS,SS TEES,$55.00 ,NoSupplier,$20.90 ,BNR,$55.00 ,$20.90 ,XXL,BLK,San Francisco Giants,Inherited,1472,TSHIRT THRASHER SF BACK,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT ARCH SAN FRANCISCO,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,L,GREY,San Francisco Giants,Inherited,1496,TSHIRT ARCH SAN FRANCISCO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT CITY SKYLINE SUNSET,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,XXL,WHI,San Francisco Giants,Inherited,8428,TSHIRT CITY SKYLINE SUNSET,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT CITY SKYLINE SUNSET,,MENS,SS TEES,$20.00 ,NoSupplier,$7.25 ,GRA,$20.00 ,$7.25 ,S,WHI,San Francisco Giants,Inherited,302351,TSHIRT CITY SKYLINE SUNSET,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT NORCAL STADIUM BEAR,,MENS,SS TEES,$19.99 ,NoSupplier,$11.50 ,NHS,$19.99 ,$11.50 ,S,CHAR,San Francisco Giants,Inherited,302340,TSHIRT NORCAL STADIUM BEAR,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,TSHIRT FILIPINO SUN STARS,,MENS,SS TEES,$25.00 ,NoSupplier,$6.27 ,GRA,$25.00 ,$6.27 ,XL,BLK,San Francisco Giants,Inherited,303428,TSHIRT FILIPINO SUN STARS,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
